;;;;;;;
;;;;;;;
떟 X;;;떟 Y;;;떟 Z;
0,829999208;3377,427002;;0,829999208;-42498,72656;;0,829999208;-4853,547852
0,83999908;-3453,511719;;0,83999908;-25715,14258;;0,83999908;191,1925659
0,849999428;-8021,687988;;0,849999428;1030,639893;;0,849999428;3424,495606
0,859999299;-6723,976074;;0,859999299;22642,83203;;0,859999299;880,1308594
0,86999917;-4612,083496;;0,86999917;37701,52344;;0,86999917;585,5452271
0,879999042;-5555,64209;;0,879999042;44151,36328;;0,879999042;7790,479492
0,88999939;-8460,703125;;0,88999939;31546,78125;;0,88999939;12997,76367
0,899999261;-9308,091797;;0,899999261;2857,686523;;0,899999261;6308,238281
0,909999132;-5043,160156;;0,909999132;-18342,08008;;0,909999132;-4078,316162
0,919999003;1702,990356;;0,919999003;-18449,39063;;0,919999003;-2394,625732
0,929999352;5183,115234;;0,929999352;-9187,514648;;0,929999352;7050,476563
0,939999223;3041,33667;;0,939999223;-3815,423096;;0,939999223;3752,55957
0,949999094;-1937,927124;;0,949999094;235,6430969;;0,949999094;-10467,13574
0,959998965;-6064,782227;;0,959998965;9225,920898;;0,959998965;-11939,59277
0,969999313;-6924,186523;;0,969999313;17838,97461;;0,969999313;-368,545166
0,979999185;-4329,862305;;0,979999185;17357;;0,979999185;4299,279785
0,989999056;-1439,774048;;0,989999056;11105,50293;;0,989999056;1148,048218
0,999998927;335,4475403;;0,999998927;6518,784668;;0,999998927;557,8833618
1,009999275;1987,28479;;1,009999275;708,03302;;1,009999275;-190,7862701
1,019999147;3127,729981;;1,019999147;-11166,27637;;1,019999147;-7085,78125
1,029999018;3403,913574;;1,029999018;-21500,64648;;1,029999018;-14543,5752
1,039999366;2256,203613;;1,039999366;-18159,00781;;1,039999366;-13438,78711
1,049999237;-783,0314941;;1,049999237;-2731,368652;;1,049999237;-5958,606934
1,059999108;-3675,218262;;1,059999108;10915,24121;;1,059999108;-322,8797302
1,06999898;-3812,341553;;1,06999898;15427,63672;;1,06999898;3887,557373
1,079999328;-1709,743042;;1,079999328;17291,84375;;1,079999328;9139,09375
1,089999199;-603,7471314;;1,089999199;20364,21289;;1,089999199;9151,526367
1,09999907;-640,6863403;;1,09999907;14170,48047;;1,09999907;-108,0594711
1,109998941;569,2529297;;1,109998941;-4804,012695;;1,109998941;-10102,37891
1,11999929;854,043396;;1,11999929;-17087,71484;;1,11999929;-11468,79785
1,129999161;-1212,2948;;1,129999161;-10940,56738;;1,129999161;-6165,446289
1,139999032;-978,3617554;;1,139999032;-3604,17627;;1,139999032;-47,76214981
1,149998903;2139,614014;;1,149998903;-4755,720703;;1,149998903;4743,038574
1,159999251;2688,965332;;1,159999251;2575,23877;;1,159999251;5346,875977
1,169999123;-48,41909027;;1,169999123;20230,42188;;1,169999123;-130,6459045
